client_id,latency_ms,memory_spike_mb
1,2093.5447216033936,2.41015625
4,1925.3127574920654,2.765625
2,1960.2773189544678,2.3203125
3,1897.2816467285156,0.3046875
1,1923.384666442871,2.80859375
0,1965.1904106140137,2.73046875
4,1957.242727279663,2.328125
2,1907.6378345489502,2.78515625
3,1965.885877609253,2.3984375
1,2000.57053565979,2.4609375
0,2018.6758041381836,0.4296875
4,1940.2518272399902,2.69921875
2,1943.291425704956,0
3,1676.9483089447021,0
0,1567.613124847412,0.00390625
1,1610.7008457183838,0
4,1501.577377319336,0
3,734.4076633453369,8.91796875
1,2304.560422897339,2.34375
0,2424.5409965515137,3.31640625
2,2422.5447177886963,2.671875
4,2382.4946880340576,2.42578125
3,2088.306188583374,2.71484375
1,2003.4008026123047,3.265625
0,1942.0084953308105,3.26171875
2,1964.9488925933838,2.69921875
4,1989.358901977539,2.87109375
3,1933.1648349761963,0
1,1965.77787399292,2.9453125
2,1984.1079711914062,3.109375
0,2033.6999893188477,2.3359375
4,1970.5157279968262,2.40234375
3,1956.629753112793,0
1,2043.2872772216797,2.73046875
2,2027.8804302215576,2.390625
0,2099.4763374328613,0.30078125
4,2056.09393119812,2.80859375
3,1940.0973320007324,2.01171875
1,1973.7493991851807,0
2,2024.43528175354,1.98828125
4,1989.4707202911377,2.44921875
0,1989.5141124725342,2.3984375
3,1860.9733581542969,3.640625
4,1382.1966648101807,2.7109375
1,2047.6784706115723,0
2,2216.6874408721924,3.05859375
0,2172.1010208129883,2.3984375
3,2143.8629627227783,3.3125
4,2121.4094161987305,3.86328125
1,2087.137460708618,2.94140625
0,2117.5410747528076,0
2,2139.4801139831543,2.3515625
3,2086.172103881836,2.39453125
4,2006.051778793335,3.4140625
1,2024.2772102355957,2.71484375
0,2063.831329345703,3.26171875
2,2084.782838821411,3.1015625
3,2063.8248920440674,2.3984375
4,2049.5011806488037,2.82421875
1,1999.9682903289795,2.671875
0,2107.7189445495605,2.3359375
2,2107.196569442749,2.3984375
3,2086.3375663757324,0.6640625
4,1958.9107036590576,2.44921875
1,2012.2389793395996,2.375
2,1960.2165222167969,2.390625
0,2021.4323997497559,2.73828125
3,2030.379056930542,1.41015625
4,1973.3984470367432,0
1,2014.9567127227783,0
2,2012.9730701446533,1.98828125
0,2017.6398754119873,2.39453125
3,2017.5926685333252,5.1484375
4,2045.7072257995605,2.87109375
1,2042.867660522461,3.265625
0,2046.750545501709,2.39453125
2,2093.712091445923,2.70703125
3,2160.9208583831787,3.3125
4,1930.239200592041,2.40234375
1,1916.8872833251953,2.94140625
0,1944.4754123687744,2.39453125
2,1984.6792221069336,0.02734375
3,1930.3596019744873,2.39453125
4,1959.8047733306885,2.8671875
1,1922.1436977386475,0.734375
0,2018.641471862793,3.78125
2,2012.1784210205078,0.29296875
3,2046.2827682495117,0
4,1993.7539100646973,0
1,1978.8970947265625,3.6640625
0,1998.4784126281738,3.890625
2,1995.154857635498,0
3,2037.194013595581,0
4,1870.0621128082275,1.41015625
1,1669.844627380371,0
2,1305.1228523254395,0
75
3,2030.0581455230713,5.05859375
0,2027.8728008270264,4.23828125
4,2062.0529651641846,2.86328125
1,2034.498929977417,3.81640625
2,2036.0171794891357,3.359375
3,1972.1436500549316,2.875
1,1936.4674091339111,3.26171875
4,1970.3187942504883,2.75
